phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,4995,4995,76161,1096747,13526308,159
2,12042,12042,64043,1006025,11709260,119
3,1994,1994,61984,988344,11391456,113
4,591,591,61334,979783,11279212,111
5,211,211,61034,971754,11211096,110
6,239,239,60749,965460,11151720,110
7,110,110,60590,959406,11108424,109
8,198,198,60341,951901,11048524,109
9,103,103,60199,944958,11003712,108
10,123,123,60041,936075,10949220,108
11,126,126,59876,927300,10894320,107
12,228,228,59610,917748,10824192,107
13,203,203,59342,907944,10752816,106
14,226,226,59069,897641,10678844,105
15,124,124,58878,887011,10613404,105
16,210,210,58607,876544,10539016,104
17,149,149,58419,865312,10471528,103
18,201,201,58166,854139,10396476,103
19,213,213,57899,842478,10317792,102
20,294,294,57523,830529,10224876,101
21,283,283,57126,817523,10125212,100
22,299,299,56754,804046,10026664,99
23,312,312,56387,791057,9930668,98
24,364,364,55930,777599,9821996,97
25,318,318,55531,761735,9710660,96
26,372,372,55090,747045,9598980,95
27,323,323,54678,732105,9489780,94
28,311,311,54275,716886,9380544,93
29,328,328,53781,701884,9261256,92
30,366,366,53311,686960,9145160,91
31,310,310,52849,670994,9025856,89
32,416,416,52262,654740,8890400,88
33,598,598,51499,636561,8726124,87
34,461,461,50833,618076,8572264,85
35,549,549,50127,600467,8417108,84
36,606,606,49305,583449,8250396,82
37,425,425,48709,567135,8113620,81
38,455,455,48065,549351,7965204,79
39,545,545,47250,533069,7802276,78
40,551,551,46397,515085,7627980,76
41,501,501,45570,496668,7455072,74
42,799,799,44489,479052,7254888,72
43,619,619,43565,460616,7070264,71
44,511,511,42726,442037,6895268,69
45,708,708,41792,424741,6714004,67
46,626,626,40878,407749,6536356,65
47,628,628,40013,392555,6371780,64
48,623,623,39071,377076,6196824,62
49,563,563,38179,359605,6019900,60
50,736,736,37095,343456,5825224,58
51,702,702,35936,326673,5619012,57
52,676,674,34840,308645,5415380,55
53,878,878,33521,290852,5185928,52
54,764,764,32396,275686,4990264,50
55,790,790,31166,259085,4776260,48
56,950,949,29719,244452,4544088,46
57,613,613,28671,229348,4357912,44
58,969,969,27235,214214,4125056,42
59,872,872,25982,200987,3921788,40
60,790,790,24671,186723,3707412,38
61,665,665,23475,172365,3506460,36
62,770,770,22228,160151,3307964,34
63,645,645,21116,146118,3118392,32
64,826,826,19814,134211,2914524,30
65,760,760,18362,122089,2691796,28
66,629,629,17131,110076,2496024,26
67,687,687,15883,98420,2299640,24
68,721,721,14646,87331,2106844,22
69,803,803,13372,75507,1906668,20
70,904,904,11890,65909,1690436,18
71,659,658,10608,56548,1499152,16
72,747,747,9132,46690,1282600,14
73,751,748,7688,38492,1076528,12
74,550,548,6498,31052,903968,10
75,532,532,5278,23799,728556,9
76,483,481,4327,18527,593348,7
77,611,609,3042,13079,417356,6
78,275,275,2069,8010,280320,4
79,177,177,1229,4333,164812,3
80,227,227,276,1036,37264,2