phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,81053,1101642,14132928,165
2,74540,1019876,13024304,139
3,72545,1001664,12712056,128
4,72050,990943,12609772,125
5,71752,983590,12544600,124
6,71451,976306,12479344,123
7,71272,970870,12436120,122
8,71095,963691,12386164,122
9,70939,956680,12339400,122
10,70790,948367,12288268,121
11,70573,939798,12227952,121
12,70353,930795,12165540,120
13,70128,921252,12100368,119
14,69859,911184,12027816,119
15,69584,900864,11953536,118
16,69373,890242,11885728,117
17,69120,878279,11807516,117
18,68863,867351,11732964,116
19,68536,856338,11649672,115
20,68145,844029,11553516,114
21,67881,831742,11472688,113
22,67489,818787,11373828,113
23,67124,805200,11275680,112
24,66672,790800,11163840,111
25,66243,775544,11051336,110
26,65801,759640,10934680,108
27,65357,744771,10821924,107
28,64920,729015,10706460,106
29,64304,714027,10572588,105
30,63872,699439,10462396,104
31,63420,683634,10344936,103
32,62777,667339,10202596,102
33,62165,650261,10060844,100
34,61527,632950,9915040,99
35,60882,614794,9765016,97
36,59894,596584,9573616,96
37,59201,579762,9423168,94
38,58503,563970,9276240,93
39,57822,547167,9127308,91
40,56711,529862,8924768,90
41,55927,511489,8757196,88
42,54881,491822,8553008,86
43,53993,473975,8375060,84
44,52986,455565,8180580,82
45,51948,439328,7991072,80
46,51135,423730,7831120,79
47,50341,407539,7671076,77
48,49244,391192,7474048,75
49,48025,375368,7264472,74
50,47039,359327,7081988,71
51,46153,343040,6910520,70
52,44792,325633,6677572,68
53,43624,309521,6472964,66
54,42193,293794,6238336,64
55,40974,278702,6031688,61
56,39774,264102,5829288,59
57,38374,249984,5604816,57
58,37227,236168,5411912,55
59,35765,222016,5179864,53
60,34705,209312,5001848,51
61,33362,195812,4786688,49
62,31743,182773,4540252,47
63,30420,169666,4329064,45
64,29129,157797,4126668,43
65,27677,146151,3905844,41
66,26350,134992,3701968,39
67,24993,124464,3497016,37
68,23423,113498,3264752,35
69,22142,103626,3071544,32
70,20869,93491,2878244,31
71,19334,82971,2651964,29
72,17901,73361,2441564,26
73,16546,65655,2248140,24
74,15210,57787,2056348,22
75,13527,49758,1822272,21
76,12048,42815,1617020,18
77,10674,36281,1426004,16
78,9147,30384,1219176,14
79,7845,24881,1040924,12
80,6599,19840,871240,11
81,5341,15708,703752,9
82,4200,11929,551716,7
83,3051,8226,399024,6
84,2142,5020,277120,4
85,1141,2690,147680,3
86,298,724,38656,2